Title,Company,Location,Created,Category,Description,URL,Latitude,Longitude,BestJobRole
Electrical Wiring Harness Engineer,Expleo,"Cahmrajendrapet, Bangalore",2025-07-04T02:57:42Z,Engineering Jobs,Electrical Wiring Harness Engineer The Electrical Wiring Harness Engineer will have a broad electrical engineering background as well as strong proficiency in CAD & PLM tools and have ability to tackle difficult engineering problems. Experience in enclosure / cabinet structures is preferred. Key roles and responsibilities for the Electrical Wiring Harness Engineer include: • Experience in creation of wiring harness drawing using PTC Creo. Able to develop parametric 3D CAD models in PTC Creo for…,https://www.adzuna.in/details/5282511818?utm_medium=api&utm_source=c8890522,12.96745,77.5822,Mechanical Designer – Thermal Management Systems
"Senior Engineer, Mechanical",Danfoss,India,2025-07-22T09:54:46Z,Engineering Jobs,"Senior Engineer, Mechanical Requisition ID: 44962 Job Location(s): Oragadam, IN Employment Type: Full Time Segment: Danfoss Power Electronics and Drives Seg Job Function: R&D, Technology and Engineering Work Location Type: On-site Job Description Danfoss is looking for a Senior Engineer - Mechanical to be part of the Product Engineering Center in Danfoss Drives Division and will report to the Mechanical Manager, PEC, INDI Danfoss gives you unique opportunities to put your skills to good use, ma…",https://www.adzuna.in/land/ad/5315975994?se=ggC_KjNp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=418384DDE9F15C0EDEA15A0D246EE5D4F1AAB394,22.3511148,78.6677428,Mechanical Designer – EV Power Modules
Senior Lead Engineer Structural analysis-Hybrid,RTX Corporation,"Bangalore, Karnataka",2025-07-12T10:46:10Z,Engineering Jobs,"Date Posted: 2025-07-21 Country: India Location: North Gate Business Park Sy.No 2/1, and Sy.No 2/2, KIAL Road, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bangalore, Karnataka 560064 Position Role Type: Unspecified Overview: In this role, the Senior Lead Engineer (Stress) will actively participate in structural analysis for NPI (New Product Introduction), redesign and technology programs of Collins Aerospace Advanced Structures business unit and will support various Advance structures pr…",https://www.adzuna.in/land/ad/5299205370?se=ggC_KjNp8BGGFe6-FXbQtw&utm_medium=api&utm_source=c8890522&v=D3C3BF67466DFA9B82BFED36FEDFAFC938A43EE2,12.95703,77.59837,Mechanical Designer – Thermal Management Systems
Hardware MedTech,Tata Consultancy Services,"Bangalore, Karnataka",2025-07-07T09:16:32Z,Engineering Jobs,"Job Title: Hardware MedTech Technical/Functional Skills: Must have skills Develop systems architecture, prototypes, analyze and design electronic and electro-mechanical sub-assemblies. Product design within regulatory requirements per applicable US and other relevantmedical device directives providing leadership to cross functional engineering teams, including design and quality. 8 years of product development leadership experience, leading significant projects from early-stage development to p…",https://www.adzuna.in/details/5289689882?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
Senior Lead Engineer Structural analysis-Hybrid,RTX,"Yelahanka, Bangalore",2025-07-15T02:35:16Z,Engineering Jobs,"Date Posted: 2025-04-30 Country: India Location: North Gate Business Park Sy.No 2/1, and Sy.No 2/2, KIAL Road, Venkatala Village, Chowdeshwari Layout, Yelahanka, Bangalore, Karnataka 560064 Position Role Type: Unspecified Overview: In this role, the Senior Lead Engineer (Stress) will actively participate in structural analysis for NPI (New Product Introduction), redesign and technology programs of Collins Aerospace Advanced Structures business unit and will support various Advance structures pr…",https://www.adzuna.in/details/5302579614?utm_medium=api&utm_source=c8890522,13.1185,77.58085,Mechanical Designer – Thermal Management Systems
Senior Engineer-Mechanical,Enphase Energy,"Bangalore, Karnataka",2025-07-15T08:37:21Z,Engineering Jobs,"Description Enphase Energy is a global energy technology company and leading provider of solar, battery, and electric vehicle charging products. Founded in 2006, Enphase transformed the solar industry with our revolutionary microinverter technology, which turns sunlight into a safe, reliable, resilient, and scalable source of energy to power our lives. Today, the Enphase Energy System helps people make, use, save, and sell their own power. Enphase is also one of the fastest growing and innovati…",https://www.adzuna.in/details/5303064042?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Energy Storage Systems
Mechanical New Product Design in Electronics Products,L&T Technology Services,"Bangalore, Karnataka",2025-07-14T09:36:39Z,Engineering Jobs,"New Product Design for Electronics Products (Mobile / Tablet / Laptop / Handheld computers / Point of Sale Device) Experience in Consumer Electronic Product Design and Manufacturing Small Form factor design Mechanical Design of (OLED/LCD, batteries, sensing, Cellular, GPS, Wi-Fi, BT, microphone, speaker, receiver, camera) Mechanical Design for EMI, EMC, ESD, Thermal Management, RF, Cellular, GPS, Wi-Fi, BT Design for Rugged products (IP rating, water, dust, Shock, Drop, Explosion proof) (IP Rat…",https://www.adzuna.in/details/5301594060?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Design Engineer – Consumer Electronics Housings
Hardware MedTech,Tata Consultancy Services,"Bangalore, Karnataka",2025-07-07T09:16:32Z,Engineering Jobs,"Job Title: Hardware MedTech Technical/Functional Skills: Must have skills Develop systems architecture, prototypes, analyze and design electronic and electro-mechanical sub-assemblies. Product design within regulatory requirements per applicable US and other relevantmedical device directives providing leadership to cross functional engineering teams, including design and quality. 8 years of product development leadership experience, leading significant projects from early-stage development to p…",https://www.adzuna.in/details/5289689882?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
Mechanical Engineering Design,Xylem,"Vadodara, Gujarat",2025-07-03T01:48:54Z,Engineering Jobs,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Mechanical Engineering Desi…",https://www.adzuna.in/land/ad/5280449625?se=YuJQNjNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=083BA37B207C32DA640FC3781EA97FC2C7E51425,22.2891,73.1924,Mechanical Designer – Thermal Management Systems
Design Engineer,Rawmart material solutions pvt ltd,"Pune, Maharashtra",2025-07-21T05:28:07Z,Engineering Jobs,"Role Description This is a full-time on-site role for a Design Engineer at Rawmart in Pune. The Design Engineer will be responsible for performing day-to-day tasks related to design engineering, mechanical engineering, computer-aided design (CAD), and product design. They will collaborate with cross-functional teams to ensure effective design and implementation of projects. Qualifications Design Engineering and Mechanical Engineering skills Proficiency in Auto Computer-Aided Design (CAD) Profic…",https://www.adzuna.in/details/5314054131?utm_medium=api&utm_source=c8890522,18.5062,73.84735,Mechanical Designer – Thermal Management Systems
Mechanical Engineer,IBM,"Bangalore, Karnataka",2025-07-11T04:05:22Z,Engineering Jobs,"Introduction Primary responsibilities will be to develop mechanical models through engagement with the expanded team, rapid prototype critical hardware updates, release design changes to manufacturing, evaluate hardware for design improvements, and engage suppliers for the IBM Z mainframe. Secondary responsibilities will be to develop mainframe system design and cabling to enable worldwide fulfilment and shipping to external clients. Your role and responsibilities The India System design team i…",https://www.adzuna.in/land/ad/5296919284?se=YuJQNjNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=2FB671CFE902B9B2B89EA1673F51D9125A25BFB1,12.95703,77.59837,Mechanical Designer – Thermal Management Systems
Senior Engineer - Mechanical,WSP USA,"Noida, Ghaziabad",2025-07-05T02:26:29Z,Engineering Jobs,"WSP is one of the world's leading professional services consulting firms. We are dedicated to our local communities and propelled by international brainpower. We are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as well as other design, program and construction management professionals. We design lasting solutions in the Transportation & Infrastructure, Property & Buildings, Earth & Environme…",https://www.adzuna.in/land/ad/5285834063?se=YuJQNjNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=DAF3C61973497442B719E5E2B519E4B2B0528052,28.56579,77.3225,Mechanical Designer – Thermal Management Systems
Senior Engineer - Mechanical,WSP USA,"Bangalore, Karnataka",2025-07-05T02:26:34Z,Engineering Jobs,"WSP is one of the world's leading professional services consulting firms. We are dedicated to our local communities and propelled by international brainpower. We are technical experts and strategic advisors including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as well as other design, program and construction management professionals. We design lasting solutions in the Transportation & Infrastructure, Property & Buildings, Earth & Environme…",https://www.adzuna.in/land/ad/5285834161?se=YuJQNjNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=C6EDB06A14DBD12A24257441CFDD713DC127ADB1,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
Mechanical Systems Design Engineer,Apple,"Bangalore, Karnataka",2025-07-01T20:33:49Z,Engineering Jobs,"- Automated measurement system development and optimisation from ideation to deployment. - Detailed mechanical design of manual and automated measurement and calibration systems, including component and materials selection, 3D/2D CAD, mechanism design, and FEA - Collaboration with vendors to develop measurement systems and improve manufacturing and metrology capabilities, and processes - Management of vendor prototyping schedule and manufacturing plan - Support new product failure analysis and …",https://www.adzuna.in/details/5277832117?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Thermal Management Systems
"Senior Professional, Mechanical Engineering",WSP,"Bangalore, Karnataka",2025-07-05T20:54:26Z,Engineering Jobs,"Responsibilities Provide design input and perform technical checks Interpret and apply technical and regulatory codes Collaborate on plant layouts, 3D models, and detailed mechanical and piping designs Enforce CAD standards and support continuous improvement Key interface between U.S.-based project managers and the support engineering team in India, ensuring alignment, communication, and quality deliverables Strong communication, organization, and time-management Ability to manage multiple proj…",https://www.adzuna.in/details/5287877313?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Design Engineer – Defense Communication Systems
"Advanced Lead Engineer- Group D&D ,RTPE",Wabtec India Industrial,India,2025-06-27T03:09:48Z,Engineering Jobs,"It’s not just about your career or job title… It’s about who you are and the impact you will make on the world. Because whether it’s for each other or our customers, we put People First. When our people come together, we Expand the Possible and continuously look for ways to improve what we create and how we do it. If you are constantly striving to grow, you’re in good company. We are revolutionizing the way the world moves for future generations, and we want someone who is ready to move with us…",https://www.adzuna.in/details/5270412935?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Mechanical Designer – Thermal Management Systems
Lead Engineer- Mechanical,Pentair,"Noida, Ghaziabad",2025-07-21T02:30:46Z,Engineering Jobs,"Job Description: Job Description: Pentair is looking for a CAD Engineer / Specialist having expertise in Computer Aided Drafting and Design using latest tools and techniques. This position will be responsible for carrying out the duties of Engineering department which includes but are not limited to 3D modeling, Drawing creation, Tolerance analysis, Engineering documentation for Centrifugal Pumps and its peripheral equipment. The selected candidate will report directly to Engineering Manager / …",https://www.adzuna.in/details/5313924432?utm_medium=api&utm_source=c8890522,28.56579,77.3225,Mechanical Designer – Handheld Test Equipment
Design Engineer,Weekday AI,India,2025-07-09T18:55:25Z,Engineering Jobs,"This role is for one of Weekday’s clients Min Experience: 1 years Location: Rajkot JobType: full-time Requirements We are looking for a skilled and detail-oriented Design Engineer with a strong background in CAD modeling and mechanical design. The ideal candidate will have hands-on experience in using AutoCAD , SolidWorks , and a sound understanding of CNC and VMC machining processes. As a Design Engineer, you will play a crucial role in creating innovative and precise engineering designs and t…",https://www.adzuna.in/details/5293650468?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Mechanical Designer – Thermal Management Systems
Mechanical Maintenance Engineer,MASH Makes,"Raigad, Maharashtra",2025-07-20T07:58:59Z,Engineering Jobs,"Job Description: Mechanical Maintenance Engineer Location: Preferably based in Khopoli – as close to the factory as possible Required Work Schedule: 6 days/week, Experience: Minimum 2 years of hands-on experience in repair and maintenance Key Responsibilities: · Repair and maintenance of: o Diesel and oil burners o Vacuum pumps, suction pumps, gear pumps, gear motors o General motors, mechanical seals, and gland packing · Quick installation and mounting of: o Gear assemblies, screw conveyors, b…",https://www.adzuna.in/details/5313132766?utm_medium=api&utm_source=c8890522,18.4928092,73.138071,Mechanical Designer – Thermal Management Systems
Mechanical Engineer,Akshyan Power Solutions Pvt Ltd,"Noida, Ghaziabad",2025-07-25T08:13:47Z,Engineering Jobs,"We are hiring Mechanical Engineer for the 3D CAD design and manufacturing. Freshers may also apply. Diploma Engineer also welcome. Candidate should have knowledge of 3D design and conventional machining processes, CNC manufacturing process. The job involves design and development of automation solutions for industrial usage. Key Responsibilities 1. 3D CAD Design & Engineering Drawing Develop detailed 3D models of parts, assemblies, and fixtures using CAD tools like SolidWorks, AutoCAD, Fusion 3…",https://www.adzuna.in/details/5321126808?utm_medium=api&utm_source=c8890522,28.56579,77.3225,Mechanical Designer – Industrial IoT Enclosures
Engineering Manager,ATS Corporation,"Bangalore, Karnataka",2025-07-14T09:36:08Z,Engineering Jobs,"Job Summary We are seeking a dynamic and experienced leader to spearhead the design, development, and implementation of automated production systems. This role will drive innovation in automation engineering while managing a multidisciplinary team focused on mechanical design, electrical integration, PLC programming, robotics, and digital twin technologies. The ideal candidate will possess hands-on expertise, strong leadership skills, and a passion for delivering cutting-edge automation solutio…",https://www.adzuna.in/details/5301590954?utm_medium=api&utm_source=c8890522,12.9881567,77.6226,Mechanical Designer – Home Automation Controllers
CAD Automation Engineer - Transformers,Hitachi,"Chennai, Tamil Nadu",2025-07-19T02:41:08Z,Engineering Jobs,"Location: Chennai, Tamil Nadu, India Job ID: R0090371 Date Posted: 2025-05-28 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: The CAD Automation Engineer is responsible for developing and implementing automated CAD workflows, ensuring design accuracy, collaborating with cross-functional teams, troubleshooting system issues, and maintaining comprehensive document…",https://www.adzuna.in/details/5310704794?utm_medium=api&utm_source=c8890522,13.06041,80.24963,Mechanical Designer – Home Automation Controllers
CAD Automation Engineer - Transformers,Hitachi,"Chennai, Tamil Nadu",2025-07-24T02:41:25Z,Engineering Jobs,"Location: Chennai, Tamil Nadu, India Job ID: R0098776 Date Posted: 2025-07-15 Company Name: HITACHI ENERGY TECHNOLOGY SERVICES PRIVATE LIMITED Profession (Job Category): Engineering & Science Job Schedule: Full time Remote: No Job Description: The opportunity: The CAD Automation Engineer is responsible for developing and implementing automated CAD workflows, ensuring design accuracy, collaborating with cross-functional teams, troubleshooting system issues, and maintaining comprehensive document…",https://www.adzuna.in/details/5318984867?utm_medium=api&utm_source=c8890522,13.06041,80.24963,Mechanical Designer – Home Automation Controllers
Design Engineer,Club Car,India,2025-06-28T06:59:49Z,Engineering Jobs,"Design Engineer- Mechanical Club Car LOCATION: Bangalore, India SUMMARY Club Car is a leading global manufacturer of golf carts and other low-speed vehicles and related aftermarket parts and services. The Company’s primary segments are Golf, Consumer, Commercial, and Aftermarket, and it operates in the Americas, EMEA, India and APAC. Headquartered in Augusta, GA, USA, Club Car has engineering centers in USA, India and China. Having headquartered in Evans, Georgia, with significant presence arou…",https://www.adzuna.in/details/5272407967?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Mechanical Design Engineer – Consumer Electronics Housings
Mechanical Design Engineer,Molex,India,2025-07-21T08:03:27Z,Engineering Jobs,"Your Job Design Engineer -Tooling Our Team Application tooling from Molex has been relied upon for more than 4 decades to deliver high-performing, reliable crimp terminations/connections in extreme environments. From crimping a terminal onto a wire or pressing a connector onto a board, our tooling equipment, and field engineering services are counted on by customers across a range of industries and applications. Using the proper interconnect manufacturer’s tooling is essential to meet many of t…",https://www.adzuna.in/details/5314143871?utm_medium=api&utm_source=c8890522,22.3511148,78.6677428,Mechanical Design Engineer – High-Vibration Rail Equipment
Mechanical Design Engineer,Applied Materials,"Bangalore, Karnataka",2025-07-17T10:37:21Z,Engineering Jobs,"Who We Are Applied Materials is the global leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. We design, build and service cutting-edge equipment that helps our customers manufacture display and semiconductor chips - the brains of devices we use every day. As the foundation of the global electronics industry, Applied enables the exciting technologies that literally connect our world - like AI and IoT. If you want to work beyond …",https://www.adzuna.in/land/ad/5307821277?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=641E3545B98FE9F8AAEDF4E0D1ABCBA265439E5E,12.95703,77.59837,Mechanical Design Engineer – Consumer Electronics Housings
Mechanical Design Engineer,Xylem,"Chennai, Tamil Nadu",2025-06-29T23:45:19Z,Engineering Jobs,"Xylem is a Fortune 500 global water solutions company dedicated to advancing sustainable impact and empowering the people who make water work every day. As a leading water technology company with 23,000 employees operating in over 150 countries, Xylem is at the forefront of addressing the world's most critical water challenges. We invite passionate individuals to join our team, dedicated to exceeding customer expectations through innovative and sustainable solutions. Job Description Responsibil…",https://www.adzuna.in/land/ad/5275058137?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=F653ABB0CEE6EEC3164D1C7C4FA04F373268AA2E,13.06041,80.24963,Mechanical Designer – Thermal Management Systems
Mechanical Designer 1,Emerson,"Pune, Maharashtra",2025-07-16T10:38:22Z,Engineering Jobs,"In This Role, Your Responsibilities Will Be: - Provide technical support for drawings to the Sales and Applications teams - Set up project / Pipe class in 3D CAD software (preferably CADWORX) before commencing 3D Model / GA drawing - Prepare 3D CAD model, P&ID and General Arrangement (GA) drawing - Prepare 3D CAD model for Equipment like Pump ,Strainer, Vessel, etc - Able to generate modules / blocks / setting of View ports, setting of templates in the model or layout, Shall be conversant with …",https://www.adzuna.in/land/ad/5305889677?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=C37CF1AD90426D773607802D81F618151B67E2EC,18.5062,73.84735,Mechanical Designer – EV Power Modules
Mechanical Design Engineer II,Medtronic,India,2025-06-26T23:40:50Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Be a part of the Medtronic Engineering and Innovation Center (MEIC) in Hyderabad by applying your skills to the growth, development, and sustaining efforts of Medical Devices products within the center. We value …",https://www.adzuna.in/land/ad/5269952006?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=0DBFA93662423F1A3E0D2D6DFAD13F9D35715594,22.3511148,78.6677428,Mechanical Designer – Medical Imaging Consoles
Senior Mechanical Design Engineer,Medtronic,India,2025-06-26T23:40:49Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Be a part of the Medtronic Engineering and Innovation Center (MEIC) in Hyderabad by applying your skills to the growth, development, and sustaining efforts of Medical Devices products within the center. We value …",https://www.adzuna.in/land/ad/5269951706?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=98F9674074FC8F3844EBE51FE1E78EC581D55B63,22.3511148,78.6677428,Mechanical Designer – Medical Imaging Consoles
Mechanical Design Engineer II,Medtronic,India,2025-06-27T23:44:30Z,Engineering Jobs,"At Medtronic you can begin a life-long career of exploration and innovation, while helping champion healthcare access and equity for all. You'll lead with purpose, breaking down barriers to innovation in a more connected, compassionate world. A Day in the Life Careers that Change Lives Be a part of the Medtronic Engineering and Innovation Center (MEIC) in Hyderabad by applying your skills to the growth, development, and sustaining efforts of Medical Devices products within the center. We value …",https://www.adzuna.in/land/ad/5271871211?se=vE__TDNp8BGC99c6DT825g&utm_medium=api&utm_source=c8890522&v=2B52897FE32801B7BDFFAB6961E89CC7C1910A44,22.3511148,78.6677428,Mechanical Designer – Medical Imaging Consoles
